序号,名称,经度,纬度
550,13号线#550,121.84448897,39.31483015
551,13号线#551,121.84428914,39.31451893
552,13号线#552,121.84408931,39.31420772
553,13号线#553,121.84388949,39.31389649
554,13号线#554,121.84368966,39.31358527
555,13号线#555,121.84348983,39.31327405
556,13号线#556,121.84329,39.31296283
557,13号线#557,121.84309017,39.3126516
558,13号线#558,121.84289034,39.31234037
559,13号线#559,121.84269051,39.31202914
560,13号线#560,121.84249068,39.31171791
561,13号线#561,121.84229085,39.31140668
562,13号线#562,121.84209103,39.31109545
563,13号线#563,121.8418912,39.31078421
564,13号线#564,121.84169137,39.31047298
565,13号线#565,121.84149154,39.31016174
566,13号线#566,121.84129171,39.3098505
567,13号线#567,121.84109188,39.30953926
568,13号线#568,121.84089205,39.30922802
569,13号线#569,121.84069222,39.30891678
570,13号线#570,121.84049239,39.30860554
571,13号线#571,121.84029256,39.30829429
572,13号线#572,121.84009274,39.30798304
573,13号线#573,121.83989291,39.3076718
574,13号线#574,121.83969308,39.30736055
575,13号线#575,121.83949325,39.3070493
576,13号线#576,121.83929342,39.30673804
577,13号线#577,121.83909359,39.30642679
578,13号线#578,121.83889376,39.30611553
579,13号线#579,121.83869393,39.30580428
580,13号线#580,121.8384941,39.30549302
581,13号线#581,121.83829428,39.30518176
582,13号线#582,121.83809445,39.3048705
583,13号线#583,121.83789462,39.30455924
584,13号线#584,121.83769479,39.30424797
585,13号线#585,121.83749496,39.30393671
586,13号线#586,121.83729513,39.30362544
587,13号线#587,121.8370953,39.30331418
588,13号线#588,121.83689547,39.30300291
589,13号线#589,121.83669564,39.30269164
590,13号线#590,121.83649582,39.30238037
591,13号线#591,121.83629599,39.30206909
592,13号线#592,121.83609616,39.30175782
593,13号线#593,121.83589633,39.30144654
594,13号线#594,121.8356965,39.30113527
595,13号线#595,121.83549667,39.30082399
596,13号线#596,121.83529684,39.30051271
597,13号线#597,121.83509701,39.30020143
598,13号线#598,121.83489718,39.29989014
599,13号线#599,121.83469735,39.29957886
600,13号线#600,121.83449753,39.29926757
601,13号线#601,121.8342977,39.29895629
602,13号线#602,121.83409787,39.298645
603,13号线#603,121.83389804,39.29833371
604,13号线#604,121.83369821,39.29802242
605,13号线#605,121.83349838,39.29771113
606,13号线#606,121.83329855,39.29739983
607,13号线#607,121.83309872,39.29708854
608,13号线#608,121.83289889,39.29677724
609,13号线#609,121.83269907,39.29646594
610,13号线#610,121.83249924,39.29615464
611,13号线#611,121.83229941,39.29584334
612,13号线#612,121.83209958,39.29553204
613,13号线#613,121.83189975,39.29522074
614,13号线#614,121.83169992,39.29490943
615,13号线#615,121.83150009,39.29459812
616,13号线#616,121.83130026,39.29428682
617,13号线#617,121.83110043,39.29397551
618,13号线#618,121.8309006,39.2936642
619,13号线#619,121.83070078,39.29335289
620,13号线#620,121.83050095,39.29304157
621,13号线#621,121.83030112,39.29273026
622,13号线#622,121.83010129,39.29241894
623,13号线#623,121.82990146,39.29210763
624,13号线#624,121.82970163,39.29179631
625,13号线#625,121.8295018,39.29148499
626,13号线#626,121.82930197,39.29117366
627,13号线#627,121.82910214,39.29086234
628,13号线#628,121.82890232,39.29055102
629,13号线#629,121.82870249,39.29023969
630,13号线#630,121.82850266,39.28992837
631,13号线#631,121.82830283,39.28961704
632,13号线#632,121.828103,39.28930571
633,13号线#633,121.82790317,39.28899438
634,13号线#634,121.82770334,39.28868304
635,13号线#635,121.82750351,39.28837171
636,13号线#636,121.82730368,39.28806037
637,13号线#637,121.82710386,39.28774904
638,13号线#638,121.82690403,39.2874377
639,13号线#639,121.8267042,39.28712636
640,13号线#640,121.82650437,39.28681502
641,13号线#641,121.82630454,39.28650368
642,13号线#642,121.82610471,39.28619233
643,13号线#643,121.82590488,39.28588099
644,13号线#644,121.82570505,39.28556964
645,13号线#645,121.82550522,39.28525829
646,13号线#646,121.82530539,39.28494694
647,13号线#647,121.82510557,39.28463559
648,13号线#648,121.82490574,39.28432424
649,13号线#649,121.82470591,39.28401289
650,13号线#650,121.82450608,39.28370153
651,13号线#651,121.82430625,39.28339018
652,13号线#652,121.82410642,39.28307882
653,13号线#653,121.82390659,39.28276746
654,13号线#654,121.82370676,39.2824561
655,13号线#655,121.82350693,39.28214474
656,13号线#656,121.82330711,39.28183338
657,13号线#657,121.82310728,39.28152201
658,13号线#658,121.82290745,39.28121065
659,13号线#659,121.82270762,39.28089928
660,13号线#660,121.82250779,39.28058791
661,13号线#661,121.82230796,39.28027654
662,13号线#662,121.82210813,39.27996517
663,13号线#663,121.8219083,39.2796538
664,13号线#664,121.82170847,39.27934242
665,13号线#665,121.82150864,39.27903105
666,13号线#666,121.82130882,39.27871967
667,13号线#667,121.82110899,39.27840829
668,13号线#668,121.82090916,39.27809691
669,13号线#669,121.82070933,39.27778553
670,13号线#670,121.8205095,39.27747415
671,13号线#671,121.82030967,39.27716277
672,13号线#672,121.82010984,39.27685138
673,13号线#673,121.81991001,39.27653999
674,13号线#674,121.81971018,39.27622861
675,13号线#675,121.81951036,39.27591722
676,13号线#676,121.81931053,39.27560583
677,13号线#677,121.8191107,39.27529443
678,13号线#678,121.81891087,39.27498304
679,13号线#679,121.81871104,39.27467165
680,13号线#680,121.81851121,39.27436025
681,13号线#681,121.81831138,39.27404885
682,13号线#682,121.81811155,39.27373745
683,13号线#683,121.81791172,39.27342605
684,13号线#684,121.8177119,39.27311465
685,13号线#685,121.81751207,39.27280325
686,13号线#686,121.81731224,39.27249184
687,13号线#687,121.81711241,39.27218044
688,13号线#688,121.81691258,39.27186903
689,13号线#689,121.81671275,39.27155762
690,13号线#690,121.81651292,39.27124621
691,13号线#691,121.81631309,39.2709348
692,13号线#692,121.81611326,39.27062339
693,13号线#693,121.81591343,39.27031197
694,13号线#694,121.81571361,39.27000056
695,13号线#695,121.81551378,39.26968914
696,13号线#696,121.81531395,39.26937772
697,13号线#697,121.81511412,39.2690663
698,13号线#698,121.81491429,39.26875488
699,13号线#699,121.81471446,39.26844346
700,13号线#700,121.81451463,39.26813204
701,13号线#701,121.8143148,39.26782061
702,13号线#702,121.81411497,39.26750918
703,13号线#703,121.81391515,39.26719776
704,13号线#704,121.81371532,39.26688633
705,13号线#705,121.81351549,39.26657489
706,13号线#706,121.81331566,39.26626346
707,13号线#707,121.81311583,39.26595203
708,13号线#708,121.812916,39.26564059
709,13号线#709,121.81271617,39.26532916
710,13号线#710,121.81251634,39.26501772
711,13号线#711,121.81231651,39.26470628
712,13号线#712,121.81211668,39.26439484
713,13号线#713,121.81191686,39.2640834
714,13号线#714,121.81171703,39.26377196
715,13号线#715,121.8115172,39.26346051
716,13号线#716,121.81131737,39.26314906
717,13号线#717,121.81111754,39.26283762
718,13号线#718,121.81091771,39.26252617
719,13号线#719,121.81071788,39.26221472
720,13号线#720,121.81051805,39.26190327
721,13号线#721,121.81031822,39.26159181
722,13号线#722,121.8101184,39.26128036
723,13号线#723,121.80991857,39.2609689
724,13号线#724,121.80971874,39.26065745
725,13号线#725,121.80951891,39.26034599
726,13号线#726,121.80931908,39.26003453
727,13号线#727,121.80911925,39.25972307
728,13号线#728,121.80891942,39.2594116
729,13号线#729,121.80871959,39.25910014
730,13号线#730,121.80851976,39.25878867
731,13号线#731,121.80831994,39.25847721
732,13号线#732,121.80812011,39.25816574
733,13号线#733,121.80792028,39.25785427
734,13号线#734,121.80772045,39.2575428
735,13号线#735,121.80752062,39.25723133
736,13号线#736,121.80732079,39.25691985
737,13号线#737,121.80712096,39.25660838
738,13号线#738,121.80692113,39.2562969
739,13号线#739,121.8067213,39.25598542
740,13号线#740,121.80652147,39.25567394
741,13号线#741,121.80632165,39.25536246
742,13号线#742,121.80612182,39.25505098
743,13号线#743,121.80592199,39.2547395
744,13号线#744,121.80572216,39.25442801
745,13号线#745,121.80552233,39.25411653
746,13号线#746,121.8053225,39.25380504
747,13号线#747,121.80512267,39.25349355
748,13号线#748,121.80492284,39.25318206
749,13号线#749,121.80472301,39.25287057
750,13号线#750,121.80452319,39.25255908
751,13号线#751,121.80432336,39.25224758
752,13号线#752,121.80412353,39.25193609
753,13号线#753,121.8039237,39.25162459
754,13号线#754,121.80372387,39.25131309
755,13号线#755,121.80352404,39.25100159
756,13号线#756,121.80332421,39.25069009
757,13号线#757,121.80312438,39.25037859
758,13号线#758,121.80292455,39.25006708
759,13号线#759,121.80272473,39.24975558
760,13号线#760,121.8025249,39.24944407
761,13号线#761,121.80232507,39.24913256
762,13号线#762,121.80212524,39.24882105
763,13号线#763,121.80192541,39.24850954
764,13号线#764,121.80172558,39.24819803
765,13号线#765,121.80152575,39.24788651
766,13号线#766,121.80132592,39.247575
767,13号线#767,121.80112609,39.24726348
768,13号线#768,121.80092626,39.24695196
769,13号线#769,121.80072644,39.24664044
770,13号线#770,121.80052661,39.24632892
771,13号线#771,121.80032678,39.2460174
772,13号线#772,121.80012695,39.24570588
773,13号线#773,121.79992712,39.24539435
774,13号线#774,121.79972729,39.24508283
775,13号线#775,121.79952746,39.2447713
776,13号线#776,121.79932763,39.24445977
777,13号线#777,121.7991278,39.24414824
778,13号线#778,121.79892798,39.24383671
779,13号线#779,121.79872815,39.24352517
780,13号线#780,121.79852832,39.24321364
781,13号线#781,121.79832849,39.2429021
782,13号线#782,121.79812866,39.24259057
783,13号线#783,121.79792883,39.24227903
784,13号线#784,121.797729,39.24196749
785,13号线#785,121.79752917,39.24165595
786,13号线#786,121.79732934,39.2413444
787,13号线#787,121.79712951,39.24103286
788,13号线#788,121.79692969,39.24072131
789,13号线#789,121.79672986,39.24040977
790,13号线#790,121.79653003,39.24009822
791,13号线#791,121.7963302,39.23978667
792,13号线#792,121.79613037,39.23947512
793,13号线#793,121.79593054,39.23916356
794,13号线#794,121.79573071,39.23885201
795,13号线#795,121.79553088,39.23854046
796,13号线#796,121.79533105,39.2382289
797,13号线#797,121.79513123,39.23791734
798,13号线#798,121.7949314,39.23760578
799,13号线#799,121.79473157,39.23729422
800,13号线#800,121.79453174,39.23698266
801,13号线#801,121.79433191,39.23667109
802,13号线#802,121.79413208,39.23635953
803,13号线#803,121.79393225,39.23604796
804,13号线#804,121.79373242,39.2357364
805,13号线#805,121.79353259,39.23542483
806,13号线#806,121.79333277,39.23511326
807,13号线#807,121.79313294,39.23480168
808,13号线#808,121.79293311,39.23449011
809,13号线#809,121.79273328,39.23417854
810,13号线#810,121.79253345,39.23386696
811,13号线#811,121.79233362,39.23355538
812,13号线#812,121.79213379,39.2332438
813,13号线#813,121.79193396,39.23293222
814,13号线#814,121.79173413,39.23262064
815,13号线#815,121.7915343,39.23230906
816,13号线#816,121.79133448,39.23199747
817,13号线#817,121.79113465,39.23168589
818,13号线#818,121.79093482,39.2313743
819,13号线#819,121.79073499,39.23106271
820,13号线#820,121.79053516,39.23075112
821,13号线#821,121.79033533,39.23043953
822,13号线#822,121.7901355,39.23012794
823,13号线#823,121.78993567,39.22981634
824,13号线#824,121.78973584,39.22950475
825,13号线#825,121.78953602,39.22919315
826,13号线#826,121.78933619,39.22888155
827,13号线#827,121.78913636,39.22856995
828,13号线#828,121.78893653,39.22825835
829,13号线#829,121.7887367,39.22794675
830,13号线#830,121.78853687,39.22763515
831,13号线#831,121.78833704,39.22732354
832,13号线#832,121.78813721,39.22701193
833,13号线#833,121.78793738,39.22670033
834,13号线#834,121.78773755,39.22638872
835,13号线#835,121.78753773,39.22607711
836,13号线#836,121.7873379,39.22576549
837,13号线#837,121.78713807,39.22545388
838,13号线#838,121.78693824,39.22514227
839,13号线#839,121.78673841,39.22483065
840,13号线#840,121.78653858,39.22451903
841,13号线#841,121.78633875,39.22420741
842,13号线#842,121.78613892,39.22389579
843,13号线#843,121.78593909,39.22358417
844,13号线#844,121.78573927,39.22327255
845,13号线#845,121.78553944,39.22296092
846,13号线#846,121.78533961,39.2226493
847,13号线#847,121.78513978,39.22233767
848,13号线#848,121.78493995,39.22202604
849,13号线#849,121.78474012,39.22171441
850,13号线#850,121.78454029,39.22140278
851,13号线#851,121.78434046,39.22109115
852,13号线#852,121.78414063,39.22077951
853,13号线#853,121.78394081,39.22046788
854,13号线#854,121.78374098,39.22015624
855,13号线#855,121.78354115,39.2198446
856,13号线#856,121.78334132,39.21953296
857,13号线#857,121.78314149,39.21922132
858,13号线#858,121.78294166,39.21890968
859,13号线#859,121.78274183,39.21859804
860,13号线#860,121.782542,39.21828639
861,13号线#861,121.78234217,39.21797474
862,13号线#862,121.78214234,39.2176631
863,13号线#863,121.78194252,39.21735145
864,13号线#864,121.78174269,39.2170398
865,13号线#865,121.78154286,39.21672814
866,13号线#866,121.78134303,39.21641649
867,13号线#867,121.7811432,39.21610483
868,13号线#868,121.78094337,39.21579318
869,13号线#869,121.78074354,39.21548152
870,13号线#870,121.78054371,39.21516986
871,13号线#871,121.78034388,39.2148582
872,13号线#872,121.78014406,39.21454654
873,13号线#873,121.77994423,39.21423488
874,13号线#874,121.7797444,39.21392321
875,13号线#875,121.77954457,39.21361155
876,13号线#876,121.77934474,39.21329988
877,13号线#877,121.77914491,39.21298821
878,13号线#878,121.77894508,39.21267654
879,13号线#879,121.77874525,39.21236487
880,13号线#880,121.77854542,39.21205319
881,13号线#881,121.77834559,39.21174152
882,13号线#882,121.77814577,39.21142984
883,13号线#883,121.77794594,39.21111817
884,13号线#884,121.77774611,39.21080649
885,13号线#885,121.77754628,39.21049481
886,13号线#886,121.77734645,39.21018313
887,13号线#887,121.77714662,39.20987144
888,13号线#888,121.77694679,39.20955976
889,13号线#889,121.77674696,39.20924808
890,13号线#890,121.77654713,39.20893639
891,13号线#891,121.77634731,39.2086247
892,13号线#892,121.77614748,39.20831301
893,13号线#893,121.77594765,39.20800132
894,13号线#894,121.77574782,39.20768963
895,13号线#895,121.77554799,39.20737793
896,13号线#896,121.77534816,39.20706624
897,13号线#897,121.77514833,39.20675454
898,13号线#898,121.7749485,39.20644284
899,13号线#899,121.77474867,39.20613115
900,13号线#900,121.77454885,39.20581944
901,13号线#901,121.77434902,39.20550774
902,13号线#902,121.77414919,39.20519604
903,13号线#903,121.77394936,39.20488433
904,13号线#904,121.77374953,39.20457263
905,13号线#905,121.7735497,39.20426092
906,13号线#906,121.77334987,39.20394921
907,13号线#907,121.77315004,39.2036375
908,13号线#908,121.77295021,39.20332579
909,13号线#909,121.77275038,39.20301408
910,13号线#910,121.77255056,39.20270236
911,13号线#911,121.77235073,39.20239065
912,13号线#912,121.7721509,39.20207893
913,13号线#913,121.77195107,39.20176721
914,13号线#914,121.77175124,39.20145549
915,13号线#915,121.77155141,39.20114377
916,13号线#916,121.77135158,39.20083205
917,13号线#917,121.77115175,39.20052032
918,13号线#918,121.77095192,39.2002086
919,13号线#919,121.7707521,39.19989687
920,13号线#920,121.77055227,39.19958514
921,13号线#921,121.77035244,39.19927341
922,13号线#922,121.77015261,39.19896168
923,13号线#923,121.76995278,39.19864995
924,13号线#924,121.76975295,39.19833822
925,13号线#925,121.76955312,39.19802648
926,13号线#926,121.76935329,39.19771474
927,13号线#927,121.76915346,39.19740301
928,13号线#928,121.76895363,39.19709127
929,13号线#929,121.76875381,39.19677953
930,13号线#930,121.76855398,39.19646778
931,13号线#931,121.76835415,39.19615604
932,13号线#932,121.76815432,39.1958443
933,13号线#933,121.76795449,39.19553255
934,13号线#934,121.76775466,39.1952208
935,13号线#935,121.76755483,39.19490905
936,13号线#936,121.767355,39.1945973
937,13号线#937,121.76715517,39.19428555
938,13号线#938,121.76695535,39.1939738
939,13号线#939,121.76675552,39.19366204
940,13号线#940,121.76655569,39.19335029
941,13号线#941,121.76635586,39.19303853
942,13号线#942,121.76615603,39.19272677
943,13号线#943,121.7659562,39.19241501
944,13号线#944,121.76575637,39.19210325
945,13号线#945,121.76555654,39.19179149
946,13号线#946,121.76535671,39.19147972
947,13号线#947,121.76515689,39.19116796
948,13号线#948,121.76495706,39.19085619
949,13号线#949,121.76475723,39.19054442
950,13号线#950,121.7645574,39.19023265
951,13号线#951,121.76435757,39.18992088
952,13号线#952,121.76415774,39.18960911
953,13号线#953,121.76395791,39.18929733
954,13号线#954,121.76375808,39.18898556
955,13号线#955,121.76355825,39.18867378
956,13号线#956,121.76335842,39.188362
957,13号线#957,121.7631586,39.18805022
958,13号线#958,121.76295877,39.18773844
959,13号线#959,121.76275894,39.18742666
960,13号线#960,121.76255911,39.18711488
961,13号线#961,121.76235928,39.18680309
962,13号线#962,121.76215945,39.18649131
963,13号线#963,121.76195962,39.18617952
964,13号线#964,121.76175979,39.18586773
965,13号线#965,121.76155996,39.18555594
966,13号线#966,121.76136014,39.18524415
967,13号线#967,121.76116031,39.18493235
968,13号线#968,121.76096048,39.18462056
969,13号线#969,121.76076065,39.18430876
970,13号线#970,121.76056082,39.18399696
971,13号线#971,121.76036099,39.18368517
972,13号线#972,121.76016116,39.18337337
973,13号线#973,121.75996133,39.18306156
974,13号线#974,121.7597615,39.18274976
975,13号线#975,121.75956167,39.18243796
976,13号线#976,121.75936185,39.18212615
977,13号线#977,121.75916202,39.18181434
978,13号线#978,121.75896219,39.18150254
979,13号线#979,121.75876236,39.18119073
980,13号线#980,121.75856253,39.18087891
981,13号线#981,121.7583627,39.1805671
982,13号线#982,121.75816287,39.18025529
983,13号线#983,121.75796304,39.17994347
984,13号线#984,121.75776321,39.17963166
985,13号线#985,121.75756339,39.17931984
986,13号线#986,121.75736356,39.17900802
987,13号线#987,121.75716373,39.1786962
988,13号线#988,121.7569639,39.17838437
989,13号线#989,121.75676407,39.17807255
990,13号线#990,121.75656424,39.17776073
991,13号线#991,121.75636441,39.1774489
992,13号线#992,121.75616458,39.17713707
993,13号线#993,121.75596475,39.17682524
994,13号线#994,121.75576493,39.17651341
995,13号线#995,121.7555651,39.17620158
996,13号线#996,121.75536527,39.17588975
997,13号线#997,121.75516544,39.17557791
998,13号线#998,121.75496561,39.17526608
999,13号线#999,121.75476578,39.17495424
1000,13号线#1000,121.75456595,39.1746424
1001,13号线#1001,121.75436612,39.17433056
1002,13号线#1002,121.75416629,39.17401872
1003,13号线#1003,121.75396646,39.17370687
1004,13号线#1004,121.75376664,39.17339503
1005,13号线#1005,121.75356681,39.17308318
1006,13号线#1006,121.75336698,39.17277134
1007,13号线#1007,121.75316715,39.17245949
1008,13号线#1008,121.75296732,39.17214764
1009,13号线#1009,121.75276749,39.17183579
1010,13号线#1010,121.75256766,39.17152393
1011,13号线#1011,121.75236783,39.17121208
1012,13号线#1012,121.752168,39.17090022
1013,13号线#1013,121.75196818,39.17058837
1014,13号线#1014,121.75176835,39.17027651
1015,13号线#1015,121.75156852,39.16996465
1016,13号线#1016,121.75136869,39.16965279
1017,13号线#1017,121.75116886,39.16934093
1018,13号线#1018,121.75096903,39.16902906
1019,13号线#1019,121.7507692,39.1687172
1020,13号线#1020,121.75056937,39.16840533
1021,13号线#1021,121.75036954,39.16809346
1022,13号线#1022,121.75016971,39.16778159
1023,13号线#1023,121.74996989,39.16746972
1024,13号线#1024,121.74977006,39.16715785
1025,13号线#1025,121.74957023,39.16684598
1026,13号线#1026,121.7493704,39.1665341
1027,13号线#1027,121.74917057,39.16622223
1028,13号线#1028,121.74897074,39.16591035
1029,13号线#1029,121.74877091,39.16559847
1030,13号线#1030,121.74857108,39.16528659
1031,13号线#1031,121.74837125,39.16497471
1032,13号线#1032,121.74817143,39.16466282
1033,13号线#1033,121.7479716,39.16435094
1034,13号线#1034,121.74777177,39.16403905
1035,13号线#1035,121.74757194,39.16372717
1036,13号线#1036,121.74737211,39.16341528
1037,13号线#1037,121.74717228,39.16310339
1038,13号线#1038,121.74697245,39.1627915
1039,13号线#1039,121.74677262,39.1624796
1040,13号线#1040,121.74657279,39.16216771
1041,13号线#1041,121.74637297,39.16185581
1042,13号线#1042,121.74617314,39.16154392
1043,13号线#1043,121.74597331,39.16123202
1044,13号线#1044,121.74577348,39.16092012
1045,13号线#1045,121.74557365,39.16060822
1046,13号线#1046,121.74537382,39.16029631
1047,13号线#1047,121.74517399,39.15998441
1048,13号线#1048,121.74497416,39.1596725
1049,13号线#1049,121.74477433,39.1593606
1050,13号线#1050,121.7445745,39.15904869
1051,13号线#1051,121.74437468,39.15873678
1052,13号线#1052,121.74417485,39.15842487
1053,13号线#1053,121.74397502,39.15811296
1054,13号线#1054,121.74377519,39.15780104
1055,13号线#1055,121.74357536,39.15748913
1056,13号线#1056,121.74337553,39.15717721
1057,13号线#1057,121.7431757,39.15686529
1058,13号线#1058,121.74297587,39.15655338
1059,13号线#1059,121.74277604,39.15624145
1060,13号线#1060,121.74257622,39.15592953
1061,13号线#1061,121.74237639,39.15561761
1062,13号线#1062,121.74217656,39.15530568
1063,13号线#1063,121.74197673,39.15499376
1064,13号线#1064,121.7417769,39.15468183
1065,13号线#1065,121.74157707,39.1543699
1066,13号线#1066,121.74137724,39.15405797
1067,13号线#1067,121.74117741,39.15374604
1068,13号线#1068,121.74097758,39.15343411
1069,13号线#1069,121.74077775,39.15312217
1070,13号线#1070,121.74057793,39.15281024
1071,13号线#1071,121.7403781,39.1524983
1072,13号线#1072,121.74017827,39.15218636
1073,13号线#1073,121.73997844,39.15187442
1074,13号线#1074,121.73977861,39.15156248
1075,13号线#1075,121.73957878,39.15125054
1076,13号线#1076,121.73937895,39.15093859
1077,13号线#1077,121.73917912,39.15062665
1078,13号线#1078,121.73897929,39.1503147
1079,13号线#1079,121.73877947,39.15000275
1080,13号线#1080,121.73857964,39.1496908
1081,13号线#1081,121.73837981,39.14937885
1082,13号线#1082,121.73817998,39.1490669
1083,13号线#1083,121.73798015,39.14875495
1084,13号线#1084,121.73778032,39.14844299
1085,13号线#1085,121.73758049,39.14813104
1086,13号线#1086,121.73738066,39.14781908
1087,13号线#1087,121.73718083,39.14750712
1088,13号线#1088,121.73698101,39.14719516
1089,13号线#1089,121.736972,39.1471811
